Size,Pressure Class,Bonnet,Yokeboss,Actuator,Name
NPS 1 1/2,CL150 RF,Plain,3  9/16,70i,FCVCAD000125
NPS 1 1/2,CL150 RF,Plain,3  9/16,76i,FCVCAD000126
NPS 1 1/2,CL150 RF,Ext 1,3  9/16,50i,FCVCAD000127
NPS 1 1/2,CL150 RF,Ext 1,3  9/16,60i,FCVCAD000128
NPS 1 1/2,CL150 RF,Ext 1,3  9/16,70i,FCVCAD000129
NPS 1 1/2,CL150 RF,Ext 1,3  9/16,76i,FCVCAD000130
NPS 1 1/2,CL150 RTJ,Plain,2 1/8,30i,FCVCAD000131
NPS 1 1/2,CL150 RTJ,Plain,2 1/8,34i,FCVCAD000132
NPS 1 1/2,CL150 RTJ,Ext 1,2 1/8,30i,FCVCAD000133
NPS 1 1/2,CL150 RTJ,Ext 1,2 1/8,34i,FCVCAD000134
NPS 1 1/2,CL150 RTJ,Plain,2 13/16,40i,FCVCAD000135
NPS 1 1/2,CL150 RTJ,Plain,2 13/16,45i,FCVCAD000136
NPS 1 1/2,CL150 RTJ,Plain,2 13/16,46i,FCVCAD000137
NPS 1 1/2,CL150 RTJ,Ext 1,2 13/16,40i,FCVCAD000138
NPS 1 1/2,CL150 RTJ,Ext 1,2 13/16,45i,FCVCAD000139
NPS 1 1/2,CL150 RTJ,Ext 1,2 13/16,46i,FCVCAD000140
NPS 1 1/2,CL150 RTJ,Plain,3  9/16,50i,FCVCAD000141
NPS 1 1/2,CL150 RTJ,Plain,3  9/16,60i,FCVCAD000142
NPS 1 1/2,CL150 RTJ,Plain,3  9/16,70i,FCVCAD000143
NPS 1 1/2,CL150 RTJ,Plain,3  9/16,76i,FCVCAD000144
NPS 1 1/2,CL150 RTJ,Ext 1,3  9/16,50i,FCVCAD000145
NPS 1 1/2,CL150 RTJ,Ext 1,3  9/16,60i,FCVCAD000146
NPS 1 1/2,CL150 RTJ,Ext 1,3  9/16,70i,FCVCAD000147
NPS 1 1/2,CL150 RTJ,Ext 1,3  9/16,76i,FCVCAD000148
NPS 1 1/2,CL300 RF,Plain,2 1/8,30i,FCVCAD000149
NPS 1 1/2,CL300 RF,Plain,2 1/8,34i,FCVCAD000150
NPS 1 1/2,CL300 RF,Ext 1,2 1/8,30i,FCVCAD000151
NPS 1 1/2,CL300 RF,Ext 1,2 1/8,34i,FCVCAD000152
NPS 1 1/2,CL300 RF,Plain,2 13/16,40i,FCVCAD000153
NPS 1 1/2,CL300 RF,Plain,2 13/16,45i,FCVCAD000154
NPS 1 1/2,CL300 RF,Plain,2 13/16,46i,FCVCAD000155
NPS 1 1/2,CL300 RF,Ext 1,2 13/16,40i,FCVCAD000156
NPS 1 1/2,CL300 RF,Ext 1,2 13/16,45i,FCVCAD000157
NPS 1 1/2,CL300 RF,Ext 1,2 13/16,46i,FCVCAD000158
NPS 1 1/2,CL300 RF,Plain,3  9/16,50i,FCVCAD000159
NPS 1 1/2,CL300 RF,Plain,3  9/16,60i,FCVCAD000160
NPS 1 1/2,CL300 RF,Plain,3  9/16,70i,FCVCAD000161
NPS 1 1/2,CL300 RF,Plain,3  9/16,76i,FCVCAD000162
NPS 1 1/2,CL300 RF,Ext 1,3  9/16,50i,FCVCAD000163
NPS 1 1/2,CL300 RF,Ext 1,3  9/16,60i,FCVCAD000164
NPS 1 1/2,CL300 RF,Ext 1,3  9/16,70i,FCVCAD000165
