Size,Pressure class,Flange type,Bonnet,Actuator,Name
DN 100 / NPS 4,PN20/40,RF,Extended,750-20,FCVCAD001502
DN 100 / NPS 4,PN20/40,RF,Extended,750-40,FCVCAD001503
DN 100 / NPS 4,CL150,RF,Standard(Balanced),750-20,FCVCAD001504
DN 100 / NPS 4,CL150,RF,Standard(Unbalanced),750-20,FCVCAD001505
DN 100 / NPS 4,CL150,RF,Standard(Unbalanced),750-40,FCVCAD001506
DN 100 / NPS 4,CL150,RF,Extended,750-20,FCVCAD001507
DN 100 / NPS 4,CL150,RF,Extended,750-40,FCVCAD001508
DN 100 / NPS 4,CL300,RF,Standard(Balanced),750-20,FCVCAD001509
DN 100 / NPS 4,CL300,RF,Standard(Unbalanced),750-20,FCVCAD001510
DN 100 / NPS 4,CL300,RF,Standard(Unbalanced),750-40,FCVCAD001511
DN 100 / NPS 4,CL300,RF,Extended,750-20,FCVCAD001512
DN 100 / NPS 4,CL300,RF,Extended,750-40,FCVCAD001513
DN 100 / NPS 4,CL150,RTJ,Standard(Balanced),750-20,FCVCAD001514
DN 100 / NPS 4,CL150,RTJ,Standard(Unbalanced),750-20,FCVCAD001515
DN 100 / NPS 4,CL150,RTJ,Standard(Unbalanced),750-40,FCVCAD001516
DN 100 / NPS 4,CL150,RTJ,Extended,750-20,FCVCAD001517
DN 100 / NPS 4,CL150,RTJ,Extended,750-40,FCVCAD001518
DN 100 / NPS 4,CL300,RTJ,Standard(Balanced),750-20,FCVCAD001519
DN 100 / NPS 4,CL300,RTJ,Standard(Unbalanced),750-20,FCVCAD001520
DN 100 / NPS 4,CL300,RTJ,Standard(Unbalanced),750-40,FCVCAD001521
DN 100 / NPS 4,CL300,RTJ,Extended,750-20,FCVCAD001522
DN 100 / NPS 4,CL300,RTJ,Extended,750-40,FCVCAD001523
DN 100 / NPS 4,PN10/16,EN-1092-D,Standard (Balanced),750-20,FCVCAD001524
DN 100 / NPS 4,PN10/16,EN-1092-D,Standard (Unbalanced),750-20,FCVCAD001525
DN 100 / NPS 4,PN10/16,EN-1092-D,Standard (Unbalanced),750-40,FCVCAD001526
DN 100 / NPS 4,PN10/16,EN-1092-D,Extended,750-20,FCVCAD001527
DN 100 / NPS 4,PN10/16,EN-1092-D,Extended,750-40,FCVCAD001528
